participant_id,age,gender,education,education_numeric,technical_field,employment,crt_score,need_for_cognition,working_memory,big5_extraversion,big5_agreeableness,big5_conscientiousness,big5_neuroticism,big5_openness,impulsivity_total,sensation_seeking,trust_propensity,risk_taking,state_anxiety,current_stress,fatigue_level,phishing_self_efficacy,perceived_risk,security_attitudes,privacy_concern,phishing_knowledge,technical_expertise,prior_victimization,security_training,years_email_use,daily_email_volume,email_volume_numeric,email_check_frequency,link_click_tendency,social_media_usage,overall_accuracy,phishing_detection_rate,false_positive_rate,phishing_click_rate,report_rate,mean_response_latency,mean_dwell_time,response_latency_sd
P0001,46,Female,Bachelor,3,1,Employed part-time,3,48,6,2.68,3.07,2.7,3.42,3.52,2.66,3.52,3.16,3.14,2.85,3.07,5.71,5.0,2.28,2.41,4.0,6,4,1,1,34,0-10,1,Constantly,1.44,1.4,0.558,0.504,0.168,0.326,0.166,2603,2863,1246
P0002,39,Female,Bachelor,3,0,Student,6,62,10,1.67,2.59,2.93,3.38,3.5,3.5,2.38,2.96,2.79,3.04,2.07,3.59,4.14,3.44,3.6,2.98,6,5,1,0,27,11-25,2,Few times/day,3.07,0.2,0.6,0.565,0.277,0.255,0.134,3647,5493,1639
P0003,48,Male,High school,1,1,Student,4,43,5,2.5,2.11,3.06,3.83,3.66,2.87,2.95,2.47,3.15,2.45,2.1,3.21,3.81,3.46,4.65,3.78,6,4,0,1,34,11-25,2,Constantly,3.17,0.2,0.666,0.641,0.246,0.233,0.333,2155,3245,616
P0004,31,Male,Bachelor,3,1,Employed full-time,5,42,5,4.27,1.55,2.66,3.51,3.87,3.28,4.38,2.18,3.62,2.64,3.25,2.33,5.0,3.74,3.33,3.72,7,5,3,0,20,26-50,3,Constantly,2.98,4.8,0.738,0.792,0.185,0.192,0.02,2728,4048,947
P0005,62,Male,Doctorate,5,0,Employed part-time,5,59,10,2.93,4.62,4.07,2.47,3.55,2.47,4.03,3.02,3.14,2.33,2.43,3.94,2.81,2.94,3.77,3.38,5,4,0,0,40,51-100,4,Once daily,1.94,1.2,0.797,0.872,0.215,0.173,0.258,3220,4650,1673
P0006,28,Non-binary,Master,4,0,Unemployed,2,64,8,2.45,3.27,4.1,2.59,3.83,2.79,3.43,3.06,2.94,2.95,1.04,4.72,3.18,3.19,4.24,2.01,5,4,4,0,14,11-25,2,Few times/day,2.68,0.9,0.513,0.561,0.227,0.242,0.342,3870,6624,1710
P0007,55,Female,Bachelor,3,0,Employed part-time,2,57,7,2.62,2.41,2.79,2.86,3.44,2.34,2.66,3.13,3.07,2.26,1.76,1.36,5.0,3.77,2.81,4.89,5,2,1,1,40,11-25,2,Hourly,1.54,6.0,0.534,0.571,0.047,0.271,0.291,3234,4306,1263
P0008,33,Female,High school,1,1,Employed full-time,1,62,9,3.23,3.15,3.68,2.26,4.3,1.62,3.32,2.86,2.35,2.26,1.0,3.59,4.43,2.35,3.08,3.14,6,3,0,0,24,26-50,3,Few times/day,3.08,1.0,0.632,0.671,0.16,0.161,0.396,3467,5384,1478
P0009,36,Male,Some college,2,1,Employed full-time,4,36,8,2.53,3.87,3.23,2.68,4.12,3.16,2.92,3.19,2.29,3.16,2.18,2.28,2.14,1.76,2.32,3.45,8,5,2,1,19,11-25,2,Few times/day,3.24,0.8,0.629,0.6,0.304,0.258,0.02,3104,4030,1244
P0010,50,Female,Master,4,1,Student,6,75,10,2.91,3.63,3.85,2.9,4.23,2.54,3.53,3.93,2.85,3.79,2.43,1.87,4.79,2.31,3.54,2.32,7,4,0,0,39,26-50,3,Hourly,3.5,0.6,0.726,0.786,0.242,0.124,0.305,3951,5497,1694
P0011,59,Female,Bachelor,3,0,Student,6,59,8,2.17,3.57,3.52,3.4,4.43,2.62,2.57,3.17,2.34,2.34,2.16,5.53,3.01,2.69,3.7,4.4,6,3,0,0,40,11-25,2,Once daily,3.73,1.7,0.731,0.65,0.18,0.197,0.315,4188,5961,1988
P0012,26,Female,Bachelor,3,1,Employed full-time,1,66,6,4.5,3.2,3.89,2.64,3.26,2.2,3.61,3.23,3.28,2.5,2.98,4.56,3.61,4.06,3.98,4.51,6,4,2,0,13,51-100,4,Few times/day,2.45,1.6,0.593,0.581,0.221,0.36,0.375,3049,3134,1661
P0013,46,Non-binary,High school,1,0,Employed full-time,0,32,5,2.52,3.06,3.39,2.83,3.43,2.39,2.96,3.24,2.69,1.78,2.42,2.77,5.0,4.82,4.42,4.32,4,4,1,0,36,26-50,3,Few times/week,2.25,0.0,0.518,0.573,0.053,0.345,0.476,1843,2364,593
P0014,41,Male,Bachelor,3,0,Employed full-time,7,60,13,2.89,4.69,3.62,2.29,3.72,2.6,3.21,3.64,3.21,2.28,3.59,3.31,4.94,2.47,3.56,3.38,6,4,1,0,32,0-10,1,Once daily,2.86,2.1,0.774,0.734,0.049,0.196,0.204,4812,6095,2373
P0015,29,Male,Bachelor,3,0,Employed part-time,2,44,7,3.47,4.5,3.79,2.16,4.25,1.67,2.88,3.92,1.92,2.09,2.35,3.12,5.0,3.13,2.8,4.94,4,3,0,0,15,26-50,3,Few times/day,3.57,3.1,0.479,0.63,0.097,0.254,0.394,4299,5572,1591
P0016,47,Female,Master,4,0,Employed full-time,6,65,9,2.52,4.32,3.63,3.39,3.96,2.7,3.09,3.97,1.96,3.37,2.99,2.15,3.31,2.78,2.97,4.08,4,4,0,0,33,26-50,3,Hourly,1.95,1.9,0.548,0.599,0.265,0.316,0.075,3712,4425,1120
P0017,29,Female,Bachelor,3,1,Student,7,72,12,4.07,3.58,3.77,2.68,4.25,2.68,4.48,3.62,3.33,1.88,2.31,2.85,3.93,3.58,3.27,2.5,8,6,1,1,16,11-25,2,Once daily,2.97,4.1,0.863,0.883,0.02,0.042,0.144,3184,4218,1607
P0018,42,Female,Some college,2,0,Student,5,50,7,2.79,3.94,3.84,1.87,4.7,2.37,3.05,3.82,3.22,1.46,1.66,4.44,3.89,3.42,3.72,3.48,6,3,1,0,27,0-10,1,Hourly,3.46,0.6,0.729,0.682,0.02,0.232,0.299,3779,5115,1302
P0019,33,Male,Bachelor,3,0,Self-employed,3,41,10,3.29,3.9,2.8,3.6,3.7,2.91,3.28,2.5,2.65,3.6,2.37,2.82,4.34,2.5,4.87,3.77,7,3,2,0,21,11-25,2,Few times/day,2.98,0.4,0.6,0.658,0.389,0.215,0.421,3470,3988,1665
P0020,36,Female,High school,1,0,Employed part-time,2,52,5,3.19,2.84,3.88,2.05,3.31,2.12,2.08,2.43,2.35,1.87,1.82,4.06,3.41,2.7,3.32,3.28,4,4,1,1,21,11-25,2,Constantly,3.24,2.4,0.638,0.683,0.166,0.316,0.37,2899,3785,1409
P0021,38,Male,Doctorate,5,1,Self-employed,6,65,10,3.48,2.85,3.97,2.91,4.06,2.74,3.46,2.71,3.15,2.65,2.25,2.83,5.0,3.09,4.4,3.79,5,6,3,1,28,11-25,2,Few times/day,1.69,0.4,0.83,0.884,0.195,0.027,0.307,3109,3925,1726
P0022,50,Male,Some college,2,1,Student,5,46,8,1.89,2.47,1.78,3.3,2.91,3.51,2.52,2.43,2.55,2.86,2.47,2.08,4.36,4.18,3.55,4.66,6,4,1,0,36,26-50,3,Once daily,3.72,0.2,0.639,0.533,0.212,0.316,0.02,2718,4024,1355
P0023,30,Female,Bachelor,3,0,Retired,5,49,10,3.83,2.79,4.99,1.62,4.53,2.19,3.66,2.6,4.01,1.61,2.16,4.93,4.78,2.68,2.78,3.02,6,1,0,1,17,26-50,3,Hourly,2.11,0.2,0.832,0.768,0.157,0.111,0.366,3826,5305,1929
P0024,43,Female,Some college,2,0,Student,5,71,8,2.57,3.47,3.41,2.92,2.98,1.89,3.04,3.57,3.09,2.17,2.45,1.0,3.25,1.96,2.99,2.9,2,4,0,1,32,51-100,4,Hourly,1.21,2.9,0.716,0.726,0.082,0.222,0.358,4158,4925,2055
P0025,35,Male,Bachelor,3,0,Student,7,90,11,1.5,2.52,3.24,2.9,3.28,2.91,2.25,2.84,2.7,3.1,2.14,5.64,3.58,4.24,3.46,2.85,6,5,3,0,25,26-50,3,Few times/day,2.62,0.1,0.75,0.756,0.251,0.201,0.21,4232,6122,1769
P0026,35,Male,Bachelor,3,1,Retired,5,53,10,2.59,3.5,3.28,1.41,3.12,1.95,3.32,3.15,2.82,2.24,1.4,4.7,4.22,3.6,3.52,2.0,7,5,1,0,25,26-50,3,Few times/day,2.01,0.7,0.798,0.776,0.09,0.129,0.439,3513,4539,1786
P0027,46,Male,Bachelor,3,0,Employed full-time,0,30,4,4.14,4.54,4.82,1.64,4.49,1.61,3.26,3.55,3.82,2.0,1.99,3.72,3.23,2.27,3.4,2.85,4,5,0,0,35,26-50,3,Once daily,2.46,0.3,0.603,0.536,0.045,0.275,0.383,2212,2896,838
P0028,34,Male,Some college,2,0,Employed full-time,2,46,7,3.61,2.55,3.7,3.38,4.4,2.99,4.2,2.64,3.5,2.69,1.96,2.96,4.34,3.45,3.0,3.04,3,2,0,0,19,100+,5,Few times/day,1.77,2.8,0.409,0.458,0.142,0.364,0.231,2471,2869,865
P0029,35,Female,Some college,2,0,Student,6,72,10,3.65,4.59,3.42,2.25,3.88,2.01,3.44,3.57,2.12,2.42,1.87,3.06,4.55,3.85,4.22,3.31,4,3,2,1,23,11-25,2,Few times/week,2.63,1.4,0.672,0.687,0.161,0.191,0.536,5048,6715,2259
P0030,41,Female,High school,1,0,Employed full-time,3,51,7,1.73,3.7,3.02,2.33,2.6,3.31,2.23,3.87,3.46,2.49,1.84,3.74,3.53,3.27,4.14,2.94,5,2,3,0,28,11-25,2,Few times/day,2.83,0.5,0.525,0.546,0.082,0.321,0.211,4066,5861,2029
P0031,28,Male,Bachelor,3,1,Unemployed,5,75,8,3.22,4.53,4.42,2.29,3.83,2.34,2.45,2.9,2.58,2.9,3.69,3.72,4.51,4.29,3.54,2.79,4,5,2,0,15,0-10,1,Constantly,4.06,2.8,0.664,0.663,0.123,0.301,0.332,4170,5270,1610
P0032,35,Female,High school,1,0,Employed full-time,3,54,7,2.48,3.02,2.07,2.48,2.39,3.2,1.91,3.54,2.45,2.36,1.42,2.35,5.0,3.64,4.02,3.06,5,3,1,1,23,26-50,3,Hourly,3.24,2.8,0.475,0.551,0.056,0.341,0.22,1574,2419,579
P0033,43,Female,Bachelor,3,0,Employed full-time,1,42,6,3.52,3.56,3.42,2.27,3.51,2.04,3.35,4.2,2.5,2.49,1.67,3.58,4.35,3.44,2.25,3.74,4,2,1,1,28,0-10,1,Few times/week,3.03,1.5,0.447,0.472,0.119,0.4,0.335,3746,5377,1068
P0034,22,Female,Master,4,0,Student,7,59,12,3.02,3.08,2.48,3.77,3.57,3.04,2.66,3.56,3.73,3.28,2.42,3.81,4.3,3.36,2.33,3.17,8,5,2,1,10,11-25,2,Constantly,2.9,0.6,0.608,0.554,0.219,0.312,0.084,4719,5544,1577
P0035,27,Male,Master,4,0,Employed full-time,1,62,7,1.73,3.83,3.13,3.59,3.95,2.66,3.18,2.93,2.29,3.21,2.41,3.14,4.58,3.31,3.97,3.38,1,3,1,1,14,26-50,3,Few times/day,3.66,1.8,0.587,0.669,0.227,0.337,0.379,2862,3832,985
P0036,36,Female,Bachelor,3,1,Employed full-time,7,70,8,3.25,3.77,2.39,3.35,3.92,2.61,3.35,3.12,2.8,3.46,3.26,6.19,5.0,3.9,3.42,5.0,6,4,1,1,23,100+,5,Once daily,3.15,5.4,0.821,0.865,0.292,0.099,0.278,5146,5627,2563
P0037,45,Male,Bachelor,3,0,Student,1,41,8,3.44,3.5,3.74,3.36,3.94,2.87,2.57,3.64,1.89,2.74,2.37,3.34,4.67,3.08,4.68,4.19,5,3,1,1,30,100+,5,Hourly,4.09,0.1,0.579,0.59,0.133,0.316,0.387,3327,3842,1223
P0038,64,Male,High school,1,1,Employed full-time,3,49,6,2.93,4.12,2.97,3.04,4.09,2.59,3.53,3.37,3.22,2.33,1.55,1.38,3.9,3.96,3.45,3.73,7,4,1,0,40,26-50,3,Few times/day,3.6,0.6,0.557,0.617,0.121,0.312,0.43,3786,3933,1660
P0039,33,Male,Bachelor,3,1,Student,6,62,9,2.99,3.31,4.0,3.1,2.75,2.24,2.68,2.91,2.49,2.46,3.24,2.29,4.72,3.45,3.04,3.67,8,5,3,0,25,11-25,2,Few times/day,2.37,0.7,0.771,0.679,0.184,0.222,0.263,3769,3991,1055
P0040,25,Female,Master,4,0,Unemployed,3,60,5,4.02,4.44,3.76,1.9,4.73,2.1,3.7,3.56,2.51,2.43,2.18,4.34,3.5,3.28,4.54,2.8,3,4,3,0,13,51-100,4,Once daily,3.26,2.0,0.589,0.593,0.072,0.293,0.533,3599,4518,1814
P0041,24,Male,Some college,2,0,Employed full-time,2,40,6,2.55,4.43,4.18,2.14,3.74,1.94,3.42,3.13,2.89,2.17,2.29,2.63,3.61,2.95,3.79,2.97,3,4,1,0,17,51-100,4,Few times/day,3.16,2.1,0.55,0.482,0.083,0.34,0.612,3386,4305,1418
